nr,lab,github,name,colab,link
1,lab-huggingface,code,transformers.ipynb,https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/transformers.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/transformers.ipynb )
2,lab-huggingface,code,generation.ipynb,https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/generation.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/generation.ipynb )
3,lab-huggingface,code,transformer_intuition.ipynb,https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/transformer_intuition.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/transformer_intuition.ipynb )
4,lab-huggingface,code,notebook.ipynb,https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/notebook.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/notebook.ipynb )
5,lab-huggingface,code,hub.ipynb,https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/hub.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/hub.ipynb )
6,lab-huggingface,code,summarization.ipynb,https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/summarization.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/summarization.ipynb )
7,lab-huggingface,code,sentiment.ipynb,https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/sentiment.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/sentiment.ipynb )
8,lab-huggingface,code,diffusers.ipynb,https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/diffusers.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/diffusers.ipynb )
9,lab-huggingface,code,gradio.ipynb,https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/gradio.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/gradio.ipynb )
10,lab-huggingface,code,qa.ipynb,https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/qa.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-huggingface/blob/main/code/qa.ipynb )
